,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,showRange,yearWeekTime,boxofficeType
0,1,1,0,OLD,20192206,백두산,2019-12-19,4974627980,30.4,-5577379140,-52.9,63308870470,565072,-635924,-52.9,7479389,1222,16822,20200103~20200105,202001,주말 박스오피스
1,2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,2973101060,18.1,-1785042810,-37.5,13373622380,343199,-197742,-36.6,1611399,922,10556,20200103~20200105,202001,주말 박스오피스
2,3,3,38,OLD,20196272,미드웨이,2019-12-31,2718781120,16.6,2715661120,87040.4,5818353580,306224,305912,98048.7,669797,842,8757,20200103~20200105,202001,주말 박스오피스
3,4,4,-1,OLD,20198414,시동,2019-12-18,2336951080,14.3,-1781487200,-43.3,25727945170,264165,-198203,-42.9,3037781,825,8766,20200103~20200105,202001,주말 박스오피스
4,5,5,-1,OLD,20197803,겨울왕국 2,2019-11-21,990055340,6.0,-678594910,-40.7,113542953120,112533,-78807,-41.2,13593927,644,4009,20200103~20200105,202001,주말 박스오피스
5,6,6,-1,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,599664210,3.7,-350894290,-36.9,6399611270,74413,-44652,-37.5,810299,513,2308,20200103~20200105,202001,주말 박스오피스
6,7,7,0,OLD,20192401,포드 V 페라리,2019-12-04,451966040,2.8,-46479880,-9.3,11368227300,47380,-6501,-12.1,1288953,204,1241,20200103~20200105,202001,주말 박스오피스
7,8,8,54,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,298166900,1.8,296505900,17851.0,577498400,34167,34016,22527.2,66366,225,2180,20200103~20200105,202001,주말 박스오피스
8,9,9,1,OLD,20198430,나이브스 아웃,2019-12-04,287911920,1.8,-58136160,-16.8,6127176010,31258,-6726,-17.7,719800,155,853,20200103~20200105,202001,주말 박스오피스
9,10,10,-1,OLD,20199981,눈의 여왕4,2019-12-24,168187840,1.0,-127930580,-43.2,1373733200,20729,-22772,-52.3,184801,250,831,20200103~20200105,202001,주말 박스오피스
0,1,1,0,NEW,20199581,닥터 두리틀,2020-01-08,6211744430,39.8,6211744430,100.0,7903394520,717744,717744,100.0,929622,1290,16866,20200110~20200112,202002,주말 박스오피스
1,2,2,-1,OLD,20192206,백두산,2019-12-19,2363212900,15.2,-2611415080,-52.5,67687974750,265383,-299689,-53.0,7996424,881,9792,20200110~20200112,202002,주말 박스오피스
2,3,3,0,NEW,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,2498597800,16.0,2498597800,100.0,3572477100,261952,261952,100.0,381509,948,10011,20200110~20200112,202002,주말 박스오피스
3,4,4,-2,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,1173295760,7.5,-1799805300,-60.5,15625412470,137650,-205549,-59.9,1886373,685,5694,20200110~20200112,202002,주말 박스오피스
4,5,5,-2,OLD,20196272,미드웨이,2019-12-31,910389150,5.8,-1808391970,-66.5,7632661370,103016,-203208,-66.4,884240,581,4047,20200110~20200112,202002,주말 박스오피스
5,6,6,-2,OLD,20198414,시동,2019-12-18,902124970,5.8,-1434826110,-61.4,27550383940,100712,-163453,-61.9,3251346,632,4561,20200110~20200112,202002,주말 박스오피스
