,companyCd,companyNm,companyNmEn,companyPartNm,movieCd
0,20192641,주식회사 덱스터 픽쳐스,"Dexter Pictures Co.,Ltd.  ",제작사,20192206
1,20140593,(주)퍼펙트스톰필름,Perfect Storm Film Inc.,제작사,20192206
2,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사,20192206
3,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사,20192206
4,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",배급사,20192206
5,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공,20192206
6,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",제공,20192206
7,20100109,씨제이엔터테인먼트,CJ Entertainment,해외세일즈사,20192206
8,20242763,(사)한국농아인협회,,가치봄 제작처,20192206
9,20242764,한국시각장애인연합회,,가치봄 제작처,20192206
0,2016841,(주)하이브미디어코프,Hive Media Corp.,제작사,20184571
1,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,배급사,20184571
2,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,제공,20184571
3,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,해외세일즈사,20184571
4,20242763,(사)한국농아인협회,,가치봄 제작처,20184571
5,20242764,한국시각장애인연합회,,가치봄 제작처,20184571
0,20100634,(주)누리픽쳐스,NOORI PICTURES,배급사,20196272
1,20100634,(주)누리픽쳐스,NOORI PICTURES,수입사,20196272
0,20100374,(주)외유내강,Filmmaker R & K,제작사,20198414
1,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사,20198414
2,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,제공,20198414
3,20142968,(주)콘텐츠판다,CONTENTS PANDA,해외세일즈사,20198414
4,20242763,(사)한국농아인협회,,가치봄 제작처,20198414
5,20242764,한국시각장애인연합회,,가치봄 제작처,20198414
0,20161801,월트디즈니컴퍼니코리아 유한책임회사,The Walt Disney Company Korea,배급사,20197803
1,20161801,월트디즈니컴퍼니코리아 유한책임회사,The Walt Disney Company Korea,수입사,20197803
0,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사,20198374
1,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사,20198374
2,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공,20198374
0,20161801,월트디즈니컴퍼니코리아 유한책임회사,The Walt Disney Company Korea,배급사,20192401
1,20161801,월트디즈니컴퍼니코리아 유한책임회사,The Walt Disney Company Korea,수입사,20192401
0,20143338,(주)드림팩트엔터테인먼트,Dreamfact entertainment,배급사,20191408
1,20161101,(주)제이앤씨미디어그룹,,배급사,20191408
2,20139196,TCO(주)더콘텐츠온,THE CONTENTS ON,배급사,20191408
3,20142369,(유)조이앤시네마,JOY N CINEMA,수입사,20191408
0,20141648,(주)올스타엔터테인먼트,,배급사,20198430
1,20141648,(주)올스타엔터테인먼트,,수입사,20198430
