,peopleNm,peopleNmEn,movieCd
0,김병서,KIM Byeong-seo,20192206
1,이해준,LEE Hae-jun,20192206
0,허진호,HUR Jinho,20184571
0,롤랜드 에머리히,Roland Emmerich,20196272
0,최정열,CHOI Jeongyeol,20198414
0,제니퍼 리,Jennifer Lee,20197803
1,크리스 벅,Chris Buck,20197803
0,변영규,,20198374
0,제임스 맨골드,James Mangold,20192401
0,브라이언 커크,Brian Kirk,20191408
0,라이언 존슨,Rian Johnson,20198430
0,로버트 렌스,Robert Lence,20199981
1,알렉세이 트시칠린,Alexey Tsitsilin,20199981
0,스티븐 개건,Stephen Gaghan,20199581
0,J.J. 에이브럼스,J.J. Abrams,20195462
0,손재곤,SON Jae-gon,20183002
0,아딜 엘 아르비,Adil El Arbi,20196670
1,빌랄 팔라,Bilall Fallah,20196670
0,셀린 시아마,Celine Sciamma,20198676
0,우민호,WOO Min-ho,20180939
0,최원섭,CHOI Won-sub,20192101
0,김태윤,KIM Tae-yun,20188421
0,닉 브루노,Nick Bruno,20192300
1,트로이 콴,,20192300
0,크리스토퍼 놀란,Christopher Nolan,20100312
0,김광빈,KIM Kwang-bin,20182447
0,캐시 얀,Cathy Yan,20198431
0,이영준,LEE Young-jun,20192984
0,타이카 와이티티,Taika Waititi,20197390
0,페드로 알모도바르,Pedro Almodovar,20191109
0,장유정,CHANG You-jeong,20193321
0,그레타 거윅,Greta Gerwig,20192240
0,봉준호,BONG Joon-ho,20183782
0,제프 파울러,Jeff Fowler,20184891
0,김용훈,KIM Yong-hun,20180962
0,샘 멘데스,Sam Mendes,20192399
0,스콧 무어,Scott Moore,20193911
1,존 루카스,Jon Lucas,20193911
0,리처드 펠런,Richard Phelan,20193288
1,윌 베처,Will Becher,20193288
0,리 워넬,Leigh Whannell,20199842
0,가이 리치,Guy Ritchie,20193526
0,알폰소 쿠아론,Alfonso Cuaron,20040598
0,윌리엄 브렌트 벨,William Brent Bell,20204681
0,안토닌 보드리,Antonin Baudry,20190864
0,리차드 커티스,Richard Curtis,20135428
0,토드 헤인즈,Todd Haynes,20204791
0,브래들리 쿠퍼,Bradley Cooper,20180523
0,크리스토퍼 놀란,Christopher Nolan,20010238
0,대런 린 보우즈만,Darren Lynn Bousman,20205096
0,F. 게리 그레이,F. Gary Gray,20167542
0,루퍼트 굴드,Rupert Goold,20204107
0,안드레 외브레달,Andre Ovredal,20205708
