,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20192206,백두산,128,2019,20191219,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20184571,천문: 하늘에 묻는다,132,2019,20191226,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20196272,미드웨이,138,2019,20191231,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20198414,시동,101,2019,20191218,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20197803,겨울왕국 2,103,2019,20191121,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,96,2019,20191219,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20192401,포드 V 페라리,152,2019,20191204,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20191408,21 브릿지: 테러 셧다운,99,2019,20200101,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20198430,나이브스 아웃,130,2018,20191204,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20199981,눈의 여왕4,87,2019,20191224,개봉,장편,[{'nationNm': '러시아'}],전체관람가
0,20199581,닥터 두리틀,101,2019,20200108,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20195462,스타워즈: 라이즈 오브 스카이워커,141,2019,20200108,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20183002,해치지않아,117,2019,20200115,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20196670,나쁜 녀석들: 포에버,123,2019,20200115,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20198676,타오르는 여인의 초상,121,2019,20200116,개봉,장편,[{'nationNm': '프랑스'}],15세이상관람가
0,20180939,남산의 부장들,113,2019,20200122,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20192101,히트맨,109,2019,20200122,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20188421,미스터 주: 사라진 VIP,113,2018,20200122,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20192300,스파이 지니어스,101,2019,20200122,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20192604,오즈의 마법사: 요술구두와 말하는 책,76,2019,20200122,개봉,장편,[{'nationNm': '러시아'}],전체관람가
0,20100312,인셉션,147,2010,20100721,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20182447,클로젯,97,2018,20200205,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),108,2020,20200205,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20192984,극장판 미니특공대: 공룡왕 디노,73,2019,20200206,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20197390,조조 래빗,108,2019,20200205,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20191109,페인 앤 글로리,113,2019,20200205,개봉,장편,[{'nationNm': '스페인'}],청소년관람불가
0,20193321,정직한 후보,104,2019,20200212,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20192240,작은 아씨들,134,2019,20200212,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20183782,기생충,131,2019,20190530,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20184891,수퍼 소닉,98,2019,20200212,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20180962,지푸라기라도 잡고 싶은 짐승들,108,2018,20200219,개봉,장편,[{'nationNm': '한국'}],청소년관람불가
0,20192399,1917,119,2019,20200219,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20193911,"하이, 젝시",84,2019,20200219,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20193288,숀더쉽 더 무비: 꼬마 외계인 룰라!,87,2019,20200219,개봉,장편,[{'nationNm': '영국'}],전체관람가
0,20199842,인비저블맨,124,2020,20200226,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20193526,젠틀맨,113,2020,20200226,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20040598,해리포터와 아즈카반의 죄수,136,2004,20040716,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20204681,더 보이 2: 돌아온 브람스,86,2020,20200305,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20190864,울프 콜,115,2019,20200305,개봉,장편,[{'nationNm': '프랑스'}],15세이상관람가
0,20135428,어바웃 타임,123,2013,20131205,개봉,장편,[{'nationNm': '영국'}],15세이상관람가
0,20204791,다크 워터스,127,2019,20200311,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20180523,스타 이즈 본,135,2018,20181009,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20010238,메멘토,113,2000,20010824,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20205096,세인트 아가타,103,2019,20200319,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20167542,분노의 질주: 더 익스트림,136,2017,20170412,개봉,장편,"[{'nationNm': '미국'}, {'nationNm': '일본'}, {'nationNm': '프랑스'}, {'nationNm': '캐나다'}]",15세이상관람가
0,20204107,주디,117,2019,20200325,개봉,장편,[{'nationNm': '영국'}],12세이상관람가
0,20205708,스케어리 스토리:어둠의 속삭임,108,2019,20200325,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20167904,라라랜드,127,2016,20161207,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20190280,날씨의 아이,112,2019,20191030,개봉,장편,[{'nationNm': '일본'}],15세이상관람가
0,20206424,사랑하고 있습니까,107,2019,20200325,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20090528,페임,122,2009,20090924,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20205262,엽문4: 더 파이널,104,2019,20200401,개봉,장편,[{'nationNm': '홍콩'}],12세이상관람가
0,20205841,더 터닝,94,2020,20200402,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20206446,n번째 이별 중,104,2018,20200401,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20206402,오픈 더 도어,88,2019,20200408,개봉,장편,[{'nationNm': '러시아'}],15세이상관람가
0,20205902,신과 나: 100일간의 거래,136,2018,20200408,개봉,장편,[{'nationNm': '기타'}],15세이상관람가
0,20176767,"나는 내일, 어제의 너와 만난다",110,2016,20171012,개봉,장편,[{'nationNm': '일본'}],12세이상관람가
0,20206190,서치 아웃,92,2019,20200415,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20206021,건즈 아킴보,97,2020,20200415,개봉,장편,[{'nationNm': '영국'}],청소년관람불가
0,20204741,비밀정보원: 인 더 프리즌,113,2019,20200415,개봉,장편,[{'nationNm': '영국'}],청소년관람불가
0,20196716,유령선,48,2019,20200415,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20206447,라라걸,98,2019,20200415,개봉,장편,[{'nationNm': '호주'}],전체관람가
0,20161827,로건,137,2017,20170301,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20124721,어벤져스,142,2012,20120426,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20148493,어벤져스: 에이지 오브 울트론,141,2014,20150423,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20206865,애프터 웨딩 인 뉴욕,111,2019,20200423,개봉,장편,[{'nationNm': '영국'}],12세이상관람가
0,19888010,시네마 천국,124,1988,19900707,개봉,장편,"[{'nationNm': '프랑스'}, {'nationNm': '이탈리아'}]",전체관람가
0,20205402,트롤: 월드 투어,90,2020,20200429,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20197397,나의 청춘은 너의 것,91,2019,20200429,개봉,장편,[{'nationNm': '대만'}],12세이상관람가
0,20181685,호텔 레이크,100,2020,20200429,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
0,20173226,패왕별희 디 오리지널,171,1993,20170330,개봉,장편,[{'nationNm': '중국'}],15세이상관람가
0,20207722,저 산 너머,111,2019,20200430,개봉,장편,[{'nationNm': '한국'}],12세이상관람가
0,20184889,어벤져스: 엔드게임,180,2018,20190424,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20206441,마이 스파이,100,2020,20200429,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20177478,어벤져스: 인피니티 워,149,2018,20180425,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20207341,레이니 데이 인 뉴욕,92,2019,20200506,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20207893,프리즌 이스케이프,106,2020,20200506,개봉,장편,"[{'nationNm': '영국'}, {'nationNm': '호주'}]",12세이상관람가
0,20208282,더 플랫폼,94,2019,20200513,개봉,장편,[{'nationNm': '스페인'}],청소년관람불가
0,20208686,콜 오브 와일드,99,2019,20200514,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20113252,톰보이,81,2011,20200514,개봉,장편,[{'nationNm': '프랑스'}],12세이상관람가
0,20204501,레미제라블: 뮤지컬 콘서트,166,2019,20200513,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20208562,씨 피버,93,2019,20200513,개봉,장편,"[{'nationNm': '아일랜드'}, {'nationNm': '스웨덴'}, {'nationNm': '벨기에'}, {'nationNm': '영국'}]",15세이상관람가
0,20179462,위대한 쇼맨,104,2017,20171220,개봉,장편,[{'nationNm': '미국'}],12세이상관람가
0,20208122,카페 벨에포크,115,2019,20200520,개봉,장편,[{'nationNm': '프랑스'}],15세이상관람가
0,20189987,킬러의 보디가드 무삭제 특별판,125,2017,20180912,개봉,장편,[{'nationNm': '미국'}],청소년관람불가
0,20208663,라스트 풀 메저,115,2019,20200520,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20209161,언더워터,94,2019,20200527,개봉,장편,[{'nationNm': '미국'}],15세이상관람가
0,20207501,그집,104,2020,20200527,개봉,장편,[{'nationNm': '스페인'}],15세이상관람가
0,20208264,미스비헤이비어,106,2020,20200527,개봉,장편,[{'nationNm': '영국'}],15세이상관람가
0,20196782,초미의 관심사,92,2019,20200527,개봉,장편,[{'nationNm': '한국'}],15세이상관람가
