,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,showRange,yearWeekTime,boxofficeType
0,1,1,0,OLD,20030410,실미도,2003-12-24,1019869500,45.0,651532000,176.9,2374524500,161201,103065,177.3,373849,50,882,20040102~20040104,200401,주말 박스오피스
1,2,2,0,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,623744000,27.5,328630000,111.4,2673132000,100962,53390,112.2,430356,44,578,20040102~20040104,200401,주말 박스오피스
2,3,3,0,NEW,20030420,동해물과 백두산이,2003-12-31,331879000,14.6,331879000,100.0,564340000,52163,52163,100.0,88050,20,434,20040102~20040104,200401,주말 박스오피스
3,4,4,-1,OLD,20030404,러브 액츄얼리,2003-12-05,107668500,4.7,-6645500,-5.8,1082576000,16369,-1428,-8.0,165883,11,158,20040102~20040104,200401,주말 박스오피스
4,5,5,0,NEW,20030426,더 캣,2003-12-31,75431000,3.3,75431000,100.0,108789000,12442,12442,100.0,17726,11,181,20040102~20040104,200401,주말 박스오피스
5,6,7,-2,OLD,20030350,올드보이,2003-11-21,29951000,1.3,-7040000,-19.0,1848427500,4638,-1202,-20.6,286685,4,46,20040102~20040104,200401,주말 박스오피스
6,7,8,-4,OLD,20030408,해피 에로 크리스마스,2003-12-17,13524000,0.6,-40938000,-75.2,406472000,2019,-6375,-75.9,63676,6,66,20040102~20040104,200401,주말 박스오피스
0,1,1,0,OLD,20030410,실미도,2003-12-24,913566500,42.7,-106303000,-10.4,4117849500,143724,-17477,-10.8,647712,44,788,20040109~20040111,200402,주말 박스오피스
1,2,2,0,NEW,20030430,라스트 사무라이,2004-01-09,475813500,22.2,475813500,100.0,558264500,74903,74903,100.0,88264,35,560,20040109~20040111,200402,주말 박스오피스
2,3,3,-1,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,389379000,18.2,-234365000,-37.6,3409265500,62437,-38525,-38.2,548189,34,443,20040109~20040111,200402,주말 박스오피스
3,4,4,-1,OLD,20030420,동해물과 백두산이,2003-12-31,196849500,9.2,-135029500,-40.7,957631000,31113,-21050,-40.4,150056,16,352,20040109~20040111,200402,주말 박스오피스
4,5,5,-1,OLD,20030404,러브 액츄얼리,2003-12-05,54873000,2.6,-52795500,-49.0,1221941000,8389,-7980,-48.8,187174,6,71,20040109~20040111,200402,주말 박스오피스
5,6,7,-2,OLD,20030426,더 캣,2003-12-31,40500000,1.9,-34931000,-46.3,185512000,6784,-5658,-45.5,30403,11,112,20040109~20040111,200402,주말 박스오피스
6,7,8,-1,OLD,20030350,올드보이,2003-11-21,23706000,1.1,-6245000,-20.9,1897548500,3681,-957,-20.6,294319,5,51,20040109~20040111,200402,주말 박스오피스
7,8,9,0,NEW,20030433,말죽거리 잔혹사,2004-01-16,2175500,0.1,2175500,100.0,2175500,284,284,100.0,284,1,1,20040109~20040111,200402,주말 박스오피스
