,peopleNm,peopleNmEn,movieCd
0,강우석,KANG Woo-suk,20030410
0,피터 잭슨,Peter Jackson,20030316
0,안진우,AHN Jin-woo,20030420
0,리차드 커티스,Richard Curtis,20030404
0,보 웰치,Bo Welch,20030426
0,박찬욱,PARK Chanwook,20030350
0,이건동,LEE Kun-dong,20030408
0,에드워드 즈윅,Edward Zwick,20030430
0,유하,YOO Ha,20030433
0,신동엽,SHIN Dong-yeob,20030435
0,P.J. 호건,P.J. Hogan,20040442
0,김은숙,KIM Eun-sook,20040441
0,애론 블레이즈,Aaron Blaise,20030436
1,로버트 워커,Robert Walker,20030436
0,오우삼,John Woo,20040443
0,김진민,KIM Jin-min,20030434
0,박한준,PARK Han-jun,20030439
0,게리 플레더,Gary Fleder,20030437
0,강제규,KANG Jekyu,20030371
0,존 맥티어난,John McTiernan,20030206
0,낸시 마이어스,Nancy Meyers,20040467
0,숀 레비,Shawn Levy,20040460
0,로버트 로드리게즈,Robert Rodriguez,20040459
0,마틴 캠벨,Martin Campbell,20040451
0,이한열,LEE Han-yul,20040463
0,기타노 다케시,Takeshi Kitano,20030440
0,김지훈,KIM Ji-hoon,20030413
0,배형준,BAE Hyoung-jun,20040446
0,안소니 밍겔라,Anthony Minghella,20040461
0,소피아 코폴라,Sofia Coppola,20040476
0,리차드 도너,Richard Donner,20040448
0,리차드 링클레이터,Richard Linklater,20040447
0,프랑수아 오종,Francois Ozon,20040464
0,김기덕,KIM Ki-duk,20040505
0,팀 버튼,Tim Burton,20040462
0,로버트 벤튼,Robert Benton,20040479
0,얀 사뮤엘,Yann Samuell,20040465
0,강석범,KANG Suk-bum,20040471
0,조진규,JO Jinkyu,20040456
0,윌리엄 프리드킨,William Friedkin,20040512
0,마이크 뉴웰,Mike Newell,20040509
0,조 존스톤,Joe Johnston,20040519
0,로버트 루케틱,Robert Luketic,20040513
0,김지영,KIM Ji-young,20040482
0,윤인호,YUN Inho,20040496
0,빌 우드러프,Bille Woodruff,20040506
0,멜 깁슨,Mel Gibson,20040525
0,김호준,KIM Ho-jun,20040481
0,구자홍,KOO Ja-hong,20040486
0,존 햄버그,John Hamburg,20040522
0,마티유 카소비츠,Mathieu Kassovitz,20040528
0,박정우,PARK JOUNG WOO,20040514
0,케빈 스미스,Kevin Smith,20040499
0,후카사쿠 킨지,Kinji Fukasaku,20040523
1,후카사쿠 켄타,Kenta Fukasaku,20040523
0,최동훈,CHOI Dong-hoon,20040487
0,피터 시걸,Peter Segal,20040526
0,유위강,LAU Andrew,20040455
1,맥조휘,Alan Mak,20040455
0,D.J. 카루소,D.J. Caruso,20040524
0,김경형,KIM Kyung-hyung,20040537
0,가이 퍼랜드,Guy Ferland,20040521
0,류승완,RYOO Seungwan,20040488
0,제인 캠피온,Jane Campion,20040533
0,토드 필립스,Todd Phillips,20040544
0,라자 고스넬,Raja Gosnell,20040543
0,임찬상,LIM Charn-sang,20040483
0,홍상수,HONG Sang-soo,20040489
0,미야자키 하야오,Hayao Miyazaki,20040549
0,쿠엔틴 타란티노,Quentin Tarantino,20040556
0,잭 스나이더,Zack Snyder,20040553
0,볼프강 페터젠,Wolfgang Petersen,20040555
0,임권택,IM Kwontaek,20040484
0,프라챠 핀카엡,Prachya Pinkaew,20040570
