,showTypeGroupNm,showTypeNm,movieCd
0,필름,필름,20030410
0,필름,필름,20030316
1,2D,디지털,20030316
2,IMAX,IMAX,20030316
0,필름,필름,20030420
0,필름,필름,20030404
1,2D,디지털,20030404
0,필름,필름,20030426
0,필름,필름,20030350
1,필름,더빙,20030350
2,2D,디지털,20030350
3,2D,디지털 영문자막,20030350
0,필름,필름,20030408
0,필름,필름,20030430
0,필름,필름,20030433
1,2D,디지털,20030433
0,필름,필름,20030435
0,필름,필름,20040442
1,필름,필름,20040442
0,필름,필름,20040441
0,필름,필름,20030436
0,필름,필름,20040443
0,필름,필름,20030434
0,필름,필름,20030439
0,필름,필름,20030437
0,필름,필름,20030371
1,2D,디지털,20030371
0,필름,필름,20030206
0,필름,필름,20040467
0,필름,필름,20040460
0,필름,필름,20040459
0,필름,필름,20040451
0,필름,필름,20040463
0,필름,필름,20030440
1,2D,디지털,20030440
0,필름,필름,20030413
0,필름,필름,20040446
1,2D,디지털,20040446
0,필름,필름,20040461
0,필름,필름,20040476
1,필름,필름,20040476
2,2D,디지털,20040476
0,필름,필름,20040448
0,필름,필름,20040447
1,2D,디지털,20040447
0,필름,필름,20040464
0,필름,필름,20040505
0,필름,필름,20040462
1,2D,디지털,20040462
0,필름,필름,20040479
0,필름,필름,20040465
0,필름,필름,20040471
0,필름,필름,20040456
0,필름,필름,20040512
0,필름,필름,20040509
0,필름,필름,20040519
0,필름,필름,20040513
0,필름,필름,20040482
0,필름,필름,20040496
0,필름,필름,20040506
0,필름,필름,20040525
1,2D,디지털,20040525
0,필름,필름,20040481
0,필름,필름,20040486
0,필름,필름,20040522
0,필름,필름,20040528
0,필름,필름,20040514
0,필름,필름,20040499
0,필름,필름,20040523
0,필름,필름,20040487
1,2D,디지털,20040487
0,필름,필름,20040526
1,2D,디지털,20040526
0,필름,필름,20040455
1,2D,디지털,20040455
0,필름,필름,20040524
0,필름,필름,20040537
0,필름,필름,20040521
0,필름,필름,20040488
0,필름,필름,20040533
0,필름,필름,20040544
0,필름,필름,20040543
0,필름,필름,20040483
0,필름,필름,20040489
1,2D,디지털,20040489
0,필름,필름,20040549
1,2D,디지털,20040549
0,필름,필름,20040556
1,2D,디지털,20040556
0,필름,필름,20040553
0,필름,필름,20040555
0,필름,필름,20040484
1,2D,디지털,20040484
0,필름,필름,20040570
0,필름,필름,20040569
0,필름,필름,20040452
0,필름,필름,20040568
0,필름,필름,20040490
0,필름,필름,20040588
0,필름,필름,20040589
0,필름,필름,20040591
0,필름,필름,20040559
0,필름,필름,20040566
0,필름,필름,20040571
0,필름,필름,20040582
0,필름,필름,20040592
1,2D,디지털,20040592
0,필름,필름,20040579
0,필름,필름,20040583
0,필름,필름,20040584
0,필름,필름,20040491
0,필름,필름,20040515
1,2D,디지털,20040515
0,필름,필름,20040595
0,필름,필름,20040567
0,필름,필름,20040605
1,2D,디지털,20040605
0,필름,필름,20040598
1,2D,디지털,20040598
2,4D,4D,20040598
0,필름,필름,20040585
0,필름,필름,20040576
0,필름,필름,20040573
0,필름,필름,20040498
0,필름,필름,20040610
0,필름,필름,20040586
0,필름,필름,20040597
0,필름,필름,20040580
0,필름,필름,20040624
0,필름,필름,20040614
0,필름,필름,20040612
0,필름,필름,20040593
0,필름,필름,20040625
