영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국_스크린수,전국_매출액,전국_관객수,서울_매출액,서울_관객수,장르,등급,영화구분,영화코드
명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,33121225810,4163666,사극,15세이상관람가,일반영화,20129370
극한직업,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,139647979516,16264944,31858660536,3638287,코미디,15세이상관람가,일반영화,20182530
신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115698654137,14410754,27530825087,3346172,판타지,12세이상관람가,일반영화,20150976
국제시장,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,25842519330,3233946,드라마,12세이상관람가,일반영화,20137048
어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122182694160,13934592,33577136860,3597963,액션,12세이상관람가,일반영화,20184889
겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,114810421450,13747792,28824682580,3225974,애니메이션,전체관람가,일반영화,20197803
베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,일반영화,20148048
서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,2023-11-22,개봉영화,장편,한국,2328,127926951712,13128080,29336875104,2956518,드라마,12세이상관람가,일반영화,20212866
도둑들,최동훈,(주)케이퍼필름,,,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,일반영화,20124034
7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,일반영화,20127593
암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,일반영화,20148851
범죄도시2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,2498,131293353478,12692959,29072759869,2755760,범죄,15세이상관람가,일반영화,20204548
알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,106983620359,12555894,30218911039,3377404,어드벤처,전체관람가,일반영화,20183867
"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",,(주)씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,일반영화,20124079
신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,102476768809,12253247,22905551759,2636542,판타지,12세이상관람가,일반영화,20186202
택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,22186916199,2729932,드라마,15세이상관람가,일반영화,20162869
파묘,장재현,(주)쇼박스,,(주)쇼박스,2024-02-22,개봉영화,장편,한국,2355,115148478414,11913725,26979812331,2723228,미스터리,15세이상관람가,일반영화,20234675
부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화,20156564
범죄도시4,허명행,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2024-04-24,개봉영화,장편,한국,2980,110038420734,11501621,22859743231,2314667,액션,15세이상관람가,일반영화,20228797
변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,22571929000,2978688,드라마,15세이상관람가,일반영화,20134803
어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,28631269069,3008819,액션,12세이상관람가,일반영화,20177478
아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,2809,137647702899,10805065,35476705140,2623216,액션,12세이상관람가,일반영화,20225061
범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-31,개봉영화,장편,한국,2582,104687737771,10682813,22152818269,2215433,범죄,15세이상관람가,일반영화,20226411
어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화,20148493
기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,개봉영화,장편,한국,1948,87459829095,10313086,24128560195,2790209,드라마,15세이상관람가,일반영화,20183782
겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,25847243500,3003446,애니메이션,전체관람가,일반영화,20136803
인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,25500349600,3079036,SF,12세이상관람가,일반영화,20149120
보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,936,86280975785,9948386,27849793695,3097336,드라마,12세이상관람가,일반영화,20185485
검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,1812,77252755264,9699092,18302525664,2219587,범죄,15세이상관람가,일반영화,20145507
엑시트,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-07-31,개봉영화,장편,한국,1660,79232212162,9426051,18533549352,2132869,코미디,12세이상관람가,일반영화,20184621
관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,1190,66005451500,9134586,19311179000,2561744,사극,15세이상관람가,일반영화,20126091
아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,1381,70806191000,9001309,21668935500,2595269,액션,12세이상관람가,일반영화,20121621
설국열차,봉준호,"모호필름,오퍼스픽쳐스(유)",,(주)씨제이이엔엠,2013-08-01,개봉영화,장편,한국,1128,64016480000,8914845,18975866000,2550437,SF,15세이상관람가,일반영화,20126674
인사이드 아웃 2,켈시 만,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-06-12,개봉영화,장편,미국,2619,84509284036,8799013,22334734771,2218355,애니메이션,전체관람가,일반영화,20235974
캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2016-04-27,개봉영화,장편,미국,1991,72672111827,8677249,21248121149,2400069,액션,12세이상관람가,일반영화,20159364
수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,(주)씨제이이엔엠,2014-01-22,개봉영화,장편,한국,692,62696639249,8656397,15358810049,2042110,드라마,15세이상관람가,일반영화,20131102
해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,66240631706,8646758,14906345006,1868694,어드벤처,12세이상관람가,일반영화,20136064
백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19,개봉영화,장편,한국,1971,69825366300,8252669,15055877210,1724785,어드벤처,12세이상관람가,일반영화,20192206
탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,1975,87855360975,8177446,25925045991,2309600,액션,12세이상관람가,일반영화,20194376
스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,2142,69000711100,8020208,18515112400,2051196,액션,12세이상관람가,일반영화,20196309
