,peopleNm,peopleNmEn,cast,castEn,movieCd
0,이병헌,LEE Byung-hun,리준평,,20192206
1,하정우,HA Jung-woo,조인창,,20192206
2,마동석,Don LEE,강봉래,,20192206
3,전혜진,JEON Hye-jin,전유경,,20192206
4,배수지,BAE Suzy,최지영,,20192206
5,이상원,LEE Sang-won,박태식,,20192206
6,옥자연,OK Ja-yeon,민중사,,20192206
7,한수현,HAN Su-hyun,김상사,,20192206
8,강신철,GANG Sin-cheol,한중위,,20192206
9,이경영,LEE Gyoung-young,최장군,,20192206
10,조한철,CHO Han-cheul,대령,,20192206
11,최광일,CHOI Gwang-il,대통령,,20192206
12,김시아,KIM Si-a,순옥,,20192206
13,임형국,LIM Hyung-kook,첸,,20192206
14,박주환,PARK Joo-hwan,EOD 대원 박중사,,20192206
15,남성준,NAM Sung-jun,EOD 대원 남하사,,20192206
16,김민식,kimminsik,EOD 대원 김하사,,20192206
17,박지홍,,EOD 대원 박하사,,20192206
18,서현우,SEO Hyun-woo,1 차장,,20192206
19,김준원,KIM Jun-Won,훈련 중령,,20192206
20,남문철,NAM Mun-cheol,각료 1,,20192206
21,박성근,PARK Seong-keun,각료 2,,20192206
22,전도연,JEON Do-yeon,선화,,20192206
23,손성찬,SON Seong-chan,각료 3,,20192206
24,서명찬,,국방 장관,,20192206
25,양지수,YANG Ji-su,수송장교,,20192206
26,박준영,,상황실 요원 1,,20192206
27,양대혁,,상황실 요원 2,,20192206
28,김재철,,사령부 비서관,,20192206
29,박지훈,,경호실장,,20192206
30,변우석,,"경호팀 1,2",,20192206
31,지화섭,,"경호팀 1,2",,20192206
32,김지민,,인솔 군인,,20192206
33,이정민,LEE Jung-min,청와대 비서실장,,20192206
34,허승,,도중령,,20192206
35,차시원,,본진 대원,,20192206
36,김훈만,,이석철 특파원,,20192206
37,손영순,SON Young-soon,피난민 할머니,,20192206
38,박태산,PARK Tae-san,중국 요원 1,,20192206
39,우진혁,,중국 요원 2,,20192206
40,신성일,,폐공장 북한군 1,,20192206
41,김세윤,,폐공장 북한군 2,,20192206
42,김정현,,산부인과 의사,,20192206
43,허지나,HUR Ji-na,엘리베이터 엄마,,20192206
44,김지훈,,엘리베이터 아이,,20192206
45,한창민,,강남역 우는 아이,,20192206
46,남상지,,간호사,,20192206
