,showTypeGroupNm,showTypeNm,movieCd
0,2D,디지털,20192206
1,2D,디지털 영문자막,20192206
2,2D,디지털 가치봄,20192206
3,4D,4D,20192206
0,2D,디지털,20184571
1,2D,디지털 영문자막,20184571
0,2D,디지털,20196272
0,2D,디지털,20198414
1,2D,디지털 영문자막,20198414
2,2D,디지털 가치봄,20198414
0,2D,디지털,20197803
1,2D,디지털 더빙,20197803
2,3D,3D 디지털,20197803
3,3D,3D 더빙,20197803
4,4D,4D 더빙,20197803
5,4D,4D,20197803
6,IMAX,IMAX,20197803
7,IMAX,IMAX 3D,20197803
8,DOLBYCINEMA,DOLBYCINEMA,20197803
0,2D,디지털,20198374
1,4D,4D,20198374
0,2D,디지털,20192401
1,4D,4D,20192401
2,IMAX,IMAX,20192401
3,ScreenX,ScreenX,20192401
4,DOLBYCINEMA,DOLBYCINEMA,20192401
0,2D,디지털,20191408
0,2D,디지털,20198430
0,2D,디지털,20199981
1,2D,디지털 더빙,20199981
0,2D,디지털,20199581
1,2D,디지털 더빙,20199581
2,4D,4D,20199581
0,2D,디지털,20195462
1,3D,3D 디지털,20195462
2,4D,4D,20195462
3,IMAX,IMAX,20195462
4,IMAX,IMAX 3D,20195462
0,2D,디지털,20183002
1,2D,디지털 영문자막,20183002
0,2D,디지털,20196670
1,4D,4D,20196670
2,IMAX,IMAX,20196670
3,ScreenX,ScreenX,20196670
0,2D,디지털,20198676
0,2D,디지털,20180939
1,2D,디지털 가치봄,20180939
0,2D,디지털,20192101
1,2D,디지털 가치봄,20192101
0,2D,디지털,20188421
0,2D,디지털,20192300
1,2D,디지털 더빙,20192300
2,4D,4D 더빙,20192300
3,4D,4D,20192300
0,2D,디지털,20192604
1,2D,디지털 더빙,20192604
0,필름,필름,20100312
1,2D,디지털,20100312
2,4D,4D,20100312
3,IMAX,IMAX,20100312
0,2D,디지털,20182447
0,2D,디지털,20198431
1,4D,4D,20198431
2,IMAX,IMAX,20198431
3,ScreenX,ScreenX,20198431
0,2D,디지털,20192984
0,2D,디지털,20197390
0,2D,디지털,20191109
0,2D,디지털,20193321
0,2D,디지털,20192240
0,2D,디지털,20183782
1,2D,디지털 영문자막,20183782
