,genreNm,movieCd
0,어드벤처,20192206
1,드라마,20192206
0,사극,20184571
0,액션,20196272
1,드라마,20196272
0,드라마,20198414
0,애니메이션,20197803
0,애니메이션,20198374
0,액션,20192401
1,드라마,20192401
0,스릴러,20191408
1,드라마,20191408
2,범죄,20191408
0,미스터리,20198430
1,스릴러,20198430
0,애니메이션,20199981
1,가족,20199981
2,판타지,20199981
3,어드벤처,20199981
0,판타지,20199581
1,어드벤처,20199581
0,액션,20195462
1,어드벤처,20195462
2,판타지,20195462
3,SF,20195462
0,코미디,20183002
0,액션,20196670
0,드라마,20198676
0,드라마,20180939
0,코미디,20192101
1,액션,20192101
0,코미디,20188421
1,드라마,20188421
0,애니메이션,20192300
1,액션,20192300
2,코미디,20192300
3,가족,20192300
4,SF,20192300
0,애니메이션,20192604
1,코미디,20192604
2,가족,20192604
0,드라마,20100312
1,미스터리,20100312
0,미스터리,20182447
1,드라마,20182447
0,액션,20198431
1,어드벤처,20198431
2,범죄,20198431
0,애니메이션,20192984
0,코미디,20197390
1,드라마,20197390
2,전쟁,20197390
0,드라마,20191109
0,코미디,20193321
0,드라마,20192240
1,멜로/로맨스,20192240
0,드라마,20183782
0,애니메이션,20184891
1,액션,20184891
2,어드벤처,20184891
0,스릴러,20180962
1,범죄,20180962
0,드라마,20192399
1,전쟁,20192399
0,코미디,20193911
0,애니메이션,20193288
1,어드벤처,20193288
2,코미디,20193288
0,공포(호러),20199842
0,범죄,20193526
1,액션,20193526
0,드라마,20040598
0,공포(호러),20204681
1,미스터리,20204681
2,스릴러,20204681
0,액션,20190864
1,스릴러,20190864
0,멜로/로맨스,20135428
1,코미디,20135428
0,드라마,20204791
0,드라마,20180523
1,멜로/로맨스,20180523
0,미스터리,20010238
1,범죄,20010238
2,스릴러,20010238
0,공포(호러),20205096
1,스릴러,20205096
0,액션,20167542
1,범죄,20167542
2,스릴러,20167542
0,드라마,20204107
1,멜로/로맨스,20204107
0,판타지,20205708
1,공포(호러),20205708
0,드라마,20167904
1,뮤지컬,20167904
2,멜로/로맨스,20167904
0,애니메이션,20190280
1,판타지,20190280
2,멜로/로맨스,20190280
0,판타지,20206424
1,멜로/로맨스,20206424
0,뮤지컬,20090528
1,드라마,20090528
0,액션,20205262
1,드라마,20205262
0,미스터리,20205841
1,공포(호러),20205841
0,멜로/로맨스,20206446
1,코미디,20206446
0,공포(호러),20206402
1,스릴러,20206402
0,미스터리,20205902
1,스릴러,20205902
2,판타지,20205902
0,멜로/로맨스,20176767
1,판타지,20176767
2,SF,20176767
0,스릴러,20206190
0,액션,20206021
0,범죄,20204741
1,스릴러,20204741
0,다큐멘터리,20196716
0,드라마,20206447
0,액션,20161827
1,SF,20161827
0,액션,20124721
1,SF,20124721
0,액션,20148493
1,어드벤처,20148493
2,판타지,20148493
3,SF,20148493
0,드라마,20206865
0,드라마,19888010
1,멜로/로맨스,19888010
0,애니메이션,20205402
1,어드벤처,20205402
2,코미디,20205402
0,멜로/로맨스,20197397
0,공포(호러),20181685
0,드라마,20173226
1,멜로/로맨스,20173226
0,드라마,20207722
0,액션,20184889
1,SF,20184889
0,액션,20206441
1,코미디,20206441
0,액션,20177478
1,어드벤처,20177478
2,판타지,20177478
3,SF,20177478
0,코미디,20207341
1,멜로/로맨스,20207341
0,어드벤처,20207893
1,스릴러,20207893
0,SF,20208282
1,스릴러,20208282
0,어드벤처,20208686
1,드라마,20208686
2,가족,20208686
0,드라마,20113252
0,뮤지컬,20204501
0,SF,20208562
1,공포(호러),20208562
0,드라마,20179462
1,뮤지컬,20179462
0,코미디,20208122
1,드라마,20208122
0,액션,20189987
1,코미디,20189987
0,드라마,20208663
1,전쟁,20208663
0,스릴러,20209161
0,공포(호러),20207501
1,스릴러,20207501
0,드라마,20208264
0,드라마,20196782
0,드라마,20209029
0,미스터리,20197863
1,스릴러,20197863
0,액션,20144741
1,어드벤처,20144741
2,스릴러,20144741
0,드라마,20190461
0,뮤지컬,20203921
1,애니메이션,20203921
0,어드벤처,20128386
1,드라마,20128386
0,드라마,20183813
0,드라마,20205481
1,어드벤처,20205481
0,코미디,20209463
1,드라마,20209463
0,공연,20198890
0,드라마,20178522
1,멜로/로맨스,20178522
0,액션,20188124
1,범죄,20188124
2,드라마,20188124
0,애니메이션,20191048
1,어드벤처,20191048
2,판타지,20191048
0,미스터리,20193859
1,드라마,20193859
0,드라마,20196702
0,드라마,20184842
1,가족,20184842
0,드라마,20193069
0,범죄,20050112
1,액션,20050112
2,판타지,20050112
0,드라마,20209644
1,멜로/로맨스,20209644
0,드라마,20090161
1,멜로/로맨스,20090161
2,범죄,20090161
0,사극,20196201
1,드라마,20196201
0,범죄,20081056
1,드라마,20081056
2,액션,20081056
3,미스터리,20081056
