,peopleNm,peopleNmEn,cast,castEn,movieCd
0,설경구,SUL Kyung-gu,강인찬 - 684부대 제3조장 ,,20030410
1,안성기,AHN Sung-ki,최재현 준위,,20030410
2,허준호,HUH Joonho,조 중사,,20030410
3,정재영,JUNG Jae-young,한상필 - 684부대 제1조장,,20030410
4,임경호,LIM Kyoung-ho,경호,,20030410
5,임원희,LIM Won-hee,원희 - 684부대 훈련병 ,,20030410
6,강성진,KANG Sung-jin,찬석 - 684부대 취사병 ,,20030410
7,강신일,KANG Sin-Il,근재 - 684부대 제2조장,,20030410
8,이도겸,LEE Do-gyum,박 중사,,20030410
9,엄태웅,UHM Tae-woong,원상,,20030410
10,김강우,KIM Kang-woo,민호 - 684부대 막내 훈련병,,20030410
11,신성호,,성호,,20030410
12,박진수,JIN-SOO PARK,진수,,20030410
13,김봉식,,지용,,20030410
14,김진휘,KIM Jin-hwi,진휘,,20030410
15,윤효석,,효석,,20030410
16,이경근,,재석,,20030410
17,조민준,JO Min-jun,지환,,20030410
18,류제승,RYU Je-seung,제승,,20030410
19,이용도,LEE YONG DO,흑백영화 중대장,,20030410
20,이효정,Yi Hyo-jeong,오국장,,20030410
21,석재승,SEOK Jaeseung,재승,,20030410
22,김문희,Kim Mun-hui,버스안 여학생,,20030410
23,최진,,진혁,,20030410
24,심정운,,정운,,20030410
25,주경탁,,창고 공무원 ,,20030410
26,백성기,BAEK Seong-gi,성기 ,,20030410
27,최명규,,명규 ,,20030410
28,전병윤,JEON Byung-yoon,흑백영화 김소위,,20030410
29,유상섭,YOO Sang-seob,버스 안 기사 ,,20030410
30,이성원,,증정기간원,,20030410
0,비고 모텐슨,Viggo Mortensen,아라곤,,20030316
1,일라이저 우드,Elijah Wood,프로도,,20030316
2,이안 맥켈런,Ian McKellen,간달프,,20030316
3,숀 애스틴,Sean Astin,샘,,20030316
4,리브 타일러,Liv Tyler,아르웬,,20030316
5,올랜도 블룸,Orlando Bloom,레골라스,,20030316
6,숀 빈,Sean Bean,보로미르,,20030316
7,빌리 보이드,Billy Boyd,피핀,,20030316
8,케이트 블란쳇,Cate Blanchett,갈라드리엘,,20030316
9,휴고 위빙,Hugo Weaving,엘론드,,20030316
0,정준호,JUNG Joon-ho,,,20030420
1,공형진,KONG Hyung-jin,림동해,,20030420
2,류현경,RYU Hyunkyung,,,20030420
3,박정우,Park Jung-woo,대공요원 1역,,20030420
4,박상욱,PARK Sang-wook,박형사 ,,20030420
5,이혜미,,연정 ,,20030420
6,신현탁,SHIN Hyeon-Tak,진만,,20030420
7,정경순,CHUNG Kyung-soon,닭꼬치 아줌마,,20030420
8,김광규,KIM Kwang-gyoo,형사 반장,,20030420
9,오지혜,OH Jee-hye,중국집 아줌마,,20030420
10,김유신,KIM Yoo-sin,진행요원1 ,,20030420
11,문성현,,닭꼬치 연인남 ,,20030420
12,윤지영,,맥주나레이터 ,,20030420
13,정지영,,맥주나레이터,,20030420
14,양지은,,댄싱팀 ,,20030420
15,한재영,HAN Jae-young,의경 1,,20030420
16,한창현,HAN Chang-hyun,의경 2 ,,20030420
17,박윤호,PARK Yoon-ho,수배범,,20030420
0,휴 그랜트,Hugh Grant,영국 수상,,20030404
1,콜린 퍼스,Colin Firth,제이미 베넷,,20030404
2,알란 릭맨,Alan Rickman,해리 ,,20030404
3,엠마 톰슨,Emma Thompson,캐런,,20030404
4,리암 니슨,Liam Neeson,다니엘,,20030404
5,로라 린니,Laura Linney,사라,,20030404
6,키이라 나이틀리,Keira Knightley,쥴리엣,,20030404
7,마틴 맥커천,Martine Mccutcheon,나탈리 ,,20030404
8,빌 나이,Bill Nighy,빌리 맥,,20030404
0,마이크 마이어스,Mike Myers,,,20030426
1,알렉 볼드윈,Alec Baldwin,,,20030426
0,최민식,CHOI Min-shik,오대수,OH Dae-soo,20030350
1,유지태,YOO Ji-tae,이우진,LEE Woo-jin,20030350
2,강혜정,GANG Hye-jung,미도,MI-do,20030350
3,김병옥,KIM Byung-ok,경호실장,,20030350
4,오달수,OH Dal-su,철웅,,20030350
5,이승신,LEE Sung-sin,"최면술사, 유형자",,20030350
6,윤진서,YOON Jin-seo,수아/미장원 소녀 ,,20030350
7,지대한,JI Dae-han,주환,,20030350
8,오태경,OH Tae-kyung,소년 대수,,20030350
9,유연석,YOO Yeon-seok,소년 우진 ,,20030350
10,이대연,LEE Dae-yon,거지,,20030350
11,오광록,OH Gwang-rok,자살남,,20030350
12,김수현,KIM Su-hyun,비서실장,,20030350
13,용이,YONG Yi,철가방 ,,20030350
