,genreNm,movieCd
0,전쟁,20030410
0,판타지,20030316
1,어드벤처,20030316
0,코미디,20030420
0,멜로/로맨스,20030404
1,드라마,20030404
2,코미디,20030404
0,판타지,20030426
1,어드벤처,20030426
0,스릴러,20030350
0,드라마,20030408
0,액션,20030430
0,액션,20030433
1,멜로/로맨스,20030433
0,코미디,20030435
0,어드벤처,20040442
1,가족,20040442
2,판타지,20040442
0,드라마,20040441
0,드라마,20030436
0,액션,20040443
0,드라마,20030434
0,코미디,20030439
0,스릴러,20030437
0,전쟁,20030371
1,드라마,20030371
0,액션,20030206
0,코미디,20040467
0,코미디,20040460
0,액션,20040459
0,드라마,20040451
0,코미디,20040463
0,액션,20030440
0,드라마,20030413
1,코미디,20030413
0,코미디,20040446
0,전쟁,20040461
0,멜로/로맨스,20040476
1,액션,20040476
0,SF,20040448
0,코미디,20040447
0,코미디,20040464
0,드라마,20040505
0,판타지,20040462
0,드라마,20040479
0,멜로/로맨스,20040465
0,코미디,20040471
0,코미디,20040456
0,액션,20040512
0,드라마,20040509
0,액션,20040519
0,멜로/로맨스,20040513
0,코미디,20040482
0,드라마,20040496
0,드라마,20040506
0,드라마,20040525
0,코미디,20040481
0,코미디,20040486
0,멜로/로맨스,20040522
0,공포(호러),20040528
0,드라마,20040514
0,멜로/로맨스,20040499
0,액션,20040523
0,스릴러,20040487
0,코미디,20040526
0,드라마,20040455
0,스릴러,20040524
0,코미디,20040537
1,멜로/로맨스,20040537
0,멜로/로맨스,20040521
0,액션,20040488
1,드라마,20040488
0,스릴러,20040533
0,액션,20040544
0,코미디,20040543
0,드라마,20040483
0,드라마,20040489
0,애니메이션,20040549
0,액션,20040556
0,공포(호러),20040553
1,스릴러,20040553
0,사극,20040555
0,액션,20040484
0,액션,20040570
0,공포(호러),20040569
0,멜로/로맨스,20040568
1,드라마,20040568
0,SF,20040490
0,코미디,20040588
0,공포(호러),20040589
0,공포(호러),20040591
0,코미디,20040559
0,애니메이션,20040566
0,공포(호러),20040571
0,멜로/로맨스,20040582
0,드라마,20040592
0,드라마,20040579
0,드라마,20040583
0,코미디,20040584
0,SF,20040491
0,드라마,20040515
0,코미디,20040595
0,코미디,20040567
0,공포(호러),20040605
0,드라마,20040598
0,드라마,20040585
0,드라마,20040576
0,사극,20040573
0,코미디,20040498
0,다큐멘터리,20040610
0,코미디,20040586
0,SF,20040597
0,액션,20040580
0,코미디,20040624
1,멜로/로맨스,20040624
0,공포(호러),20040614
0,드라마,20040612
1,멜로/로맨스,20040612
0,공포(호러),20040593
0,스릴러,20040625
0,액션,20040596
0,코미디,20040617
0,SF,20040618
0,전쟁,20040613
0,액션,20040615
0,코미디,20040616
0,공포(호러),20040637
0,SF,20040623
0,드라마,20040631
0,공포(호러),20040600
0,코미디,20040532
0,드라마,20040554
0,코미디,20040659
0,SF,20040648
0,코미디,20040581
0,미스터리,20040608
1,범죄,20040608
0,공포(호러),20040607
0,멜로/로맨스,20040640
1,액션,20040640
0,드라마,20040647
0,코미디,20040649
1,공포(호러),20040649
2,판타지,20040649
0,코미디,20040642
1,드라마,20040642
2,어드벤처,20040642
3,액션,20040642
0,드라마,20040619
0,드라마,20040654
1,멜로/로맨스,20040654
0,드라마,20040651
0,공포(호러),20040650
0,액션,20040669
0,액션,20040670
0,코미디,20040663
0,코미디,20040676
0,드라마,20040628
0,멜로/로맨스,20040656
0,애니메이션,20040686
1,SF,20040686
0,액션,20040655
0,드라마,20040690
0,드라마,20040688
0,코미디,20040641
0,스릴러,20040658
0,드라마,20040689
0,드라마,20040680
0,액션,20040692
0,스릴러,20040671
1,멜로/로맨스,20040671
0,멜로/로맨스,20040695
1,판타지,20040695
0,멜로/로맨스,20040685
0,멜로/로맨스,20040673
0,액션,20040696
0,코미디,20040694
0,드라마,20040698
0,멜로/로맨스,20040723
0,드라마,20040716
0,드라마,20040712
0,코미디,20040708
0,코미디,20040657
0,드라마,20040700
0,공포(호러),20040731
0,드라마,20040704
0,코미디,20040711
0,범죄,20040732
0,멜로/로맨스,20040734
0,액션,20040720
0,드라마,20040738
1,전쟁,20040738
0,드라마,20040472
1,코미디,20040472
0,애니메이션,20040739
1,판타지,20040739
2,SF,20040739
0,스릴러,20040715
0,드라마,20040752
0,드라마,20040672
0,뮤지컬,20040721
1,드라마,20040721
0,멜로/로맨스,20040743
1,드라마,20040743
0,드라마,20040682
0,액션,20040717
0,애니메이션,20040745
0,코미디,20040736
0,애니메이션,20040756
0,애니메이션,20040748
0,코미디,20040766
0,코미디,20040746
0,전쟁,20040706
1,드라마,20040706
0,액션,20040755
0,코미디,20040750
0,애니메이션,20040744
1,코미디,20040744
0,범죄,20048103
1,코미디,20048103
0,코미디,20040774
0,코미디,20040776
0,드라마,20040775
0,SF,20040705
0,액션,20040790
0,액션,20040791
0,드라마,20040786
0,드라마,20040785
0,코미디,20040779
0,코미디,20050008
0,미스터리,20050007
1,코미디,20050007
0,멜로/로맨스,20040798
1,드라마,20040798
0,액션,20040781
0,드라마,20040797
0,드라마,20050010
1,액션,20050010
2,스릴러,20050010
3,판타지,20050010
0,코미디,20050011
0,드라마,20040749
1,어드벤처,20040749
2,멜로/로맨스,20040749
0,드라마,20040793
0,공포(호러),20040771
0,드라마,20050023
1,어드벤처,20050023
2,코미디,20050023
0,드라마,20050018
1,공포(호러),20050018
2,스릴러,20050018
0,드라마,20050004
0,코미디,20050016
0,드라마,20050012
0,드라마,20050027
0,코미디,20040778
0,드라마,20050028
0,멜로/로맨스,20050033
1,코미디,20050033
0,스릴러,20050014
1,공포(호러),20050014
0,드라마,20050041
1,전쟁,20050041
2,미스터리,20050041
0,드라마,20040751
0,코미디,20050013
1,액션,20050013
0,스릴러,20050037
0,드라마,20050042
1,멜로/로맨스,20050042
2,판타지,20050042
0,드라마,20040702
0,드라마,20040741
0,드라마,20050009
1,멜로/로맨스,20050009
0,드라마,20050049
0,액션,20050017
0,액션,20050048
1,코미디,20050048
0,애니메이션,20050039
1,액션,20050039
2,어드벤처,20050039
0,드라마,20050029
0,스릴러,20040754
0,공포(호러),20050058
1,미스터리,20050058
2,스릴러,20050058
0,코미디,20050030
0,코미디,20040772
0,코미디,20050034
0,공포(호러),20040687
0,드라마,20050060
0,드라마,20050069
1,스릴러,20050069
0,드라마,20050077
0,범죄,20050065
1,액션,20050065
2,스릴러,20050065
3,어드벤처,20050065
0,공포(호러),20050072
0,스릴러,20050076
0,액션,20050078
0,코미디,20050074
1,드라마,20050074
0,애니메이션,20050093
1,코미디,20050093
2,가족,20050093
0,드라마,20050061
0,드라마,20050095
0,스릴러,20050046
0,멜로/로맨스,20050083
1,코미디,20050083
0,공포(호러),20050101
0,드라마,20050092
1,코미디,20050092
