,movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,gradeNm
0,20030410,실미도,135,2003,20031224,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030316,반지의 제왕 : 왕의 귀환,262,2003,20031217,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20030420,동해물과 백두산이,104,2003,20031231,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030404,러브 액츄얼리,130,2003,20031205,개봉,장편,"[{'nationNm': '미국'}, {'nationNm': '영국'}]",15세관람가
0,20030426,더 캣,85,2003,20031231,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20030350,올드보이,120,2003,20031121,개봉,장편,[{'nationNm': '한국'}],18세관람가
0,20030408,해피 에로 크리스마스,110,2003,20031217,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030430,라스트 사무라이,144,2003,20040109,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20030433,말죽거리 잔혹사,115,2003,20040116,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030435,내사랑 싸가지,95,2004,20040116,개봉,장편,[{'nationNm': '한국'}],12세관람가
0,20040442,피터 팬,113,2003,20040116,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20040441,빙우,104,2003,20040116,개봉,장편,[{'nationNm': '한국'}],12세관람가
0,20030436,브라더 베어,85,2003,20040116,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20040443,페이첵,119,2003,20040122,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20030434,안녕! 유에프오,105,2004,20040130,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20030439,그녀를 모르면 간첩,100,2003,20040130,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030437,런어웨이,127,2003,20040130,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20030371,태극기 휘날리며,148,2004,20040205,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20030206,베이직,98,2003,20040206,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040467,사랑할 때 버려야 할 아까운 것들,128,2003,20040213,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040460,열두명의 웬수들,95,2003,20040213,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20040459,스파이 키드 3D,84,2003,20040213,개봉,장편,[{'nationNm': '미국'}],전체관람가
0,20040451,머나먼 사랑,127,2003,20040213,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040463,마법경찰 갈갈이와 옥동자,85,2004,20040213,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20030440,자토이치,119,2003,20040130,개봉,장편,[{'nationNm': '일본'}],15세관람가
0,20030413,목포는 항구다,110,2003,20040220,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20040446,그녀를 믿지 마세요,112,2004,20040220,개봉,장편,[{'nationNm': '한국'}],12세관람가
0,20040461,콜드 마운틴,154,2003,20040220,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040476,사랑도 통역이 되나요?,102,2003,20040220,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040448,타임라인,116,2003,20040227,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040447,스쿨 오브 락,109,2003,20040227,개봉,장편,[{'nationNm': '영국'}],전체관람가
0,20040464,8명의 여인들,110,2002,20040227,개봉,장편,[{'nationNm': '프랑스'}],15세관람가
0,20040505,사마리아,95,2004,20040305,개봉,장편,[{'nationNm': '한국'}],18세관람가
0,20040462,빅 피쉬,125,2003,20040305,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20040479,휴먼 스테인,106,2003,20040305,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040465,러브 미 이프 유 대어,93,2004,20040305,개봉,장편,[{'nationNm': '프랑스'}],15세관람가
0,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,108,2004,20040312,개봉,장편,[{'nationNm': '한국'}],12세관람가
0,20040456,어깨동무,110,2004,20040312,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20040512,헌티드,94,2003,20040312,개봉,장편,[{'nationNm': '미국'}],18세관람가
0,20040509,모나리자 스마일,117,2003,20040319,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20040519,히달고,135,2004,20040319,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20040513,내 생애 최고의 데이트,95,2004,20040319,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20040482,맹부삼천지교,117,2004,20040326,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20040496,아홉살 인생,105,2004,20040326,개봉,장편,[{'nationNm': '한국'}],전체관람가
0,20040506,허니,94,2003,20040326,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040525,패션 오브 크라이스트,126,2004,20040402,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040481,어린 신부,114,2004,20040402,개봉,장편,[{'nationNm': '한국'}],12세관람가
0,20040486,마지막 늑대,97,2004,20040401,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20040522,폴리와 함께,89,2004,20040402,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040528,고티카,95,2003,20040402,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040514,바람의 전설,132,2004,20040409,개봉,장편,[{'nationNm': '한국'}],15세관람가
0,20040499,저지 걸,103,2004,20040409,개봉,장편,[{'nationNm': '미국'}],12세관람가
0,20040523,배틀로얄 2 - 레퀴엠,133,2003,20040409,개봉,장편,[{'nationNm': '일본'}],15세관람가
0,20040487,범죄의 재구성,116,2004,20040415,개봉,장편,[{'nationNm': '한국'}],18세관람가
0,20040526,첫키스만 50번째,99,2004,20040415,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040455,무간도3: 종극무간,118,2003,20040702,개봉,장편,[{'nationNm': '홍콩'}],18세관람가
0,20040524,테이킹 라이브즈,102,2004,20040415,개봉,장편,[{'nationNm': '미국'}],18세관람가
0,20040537,라이어,114,2004,20040423,개봉,장편,[{'nationNm': '한국'}],18세관람가
0,20040521,더티 댄싱 - 하바나 나이트,87,2004,20040423,개봉,장편,[{'nationNm': '미국'}],15세관람가
0,20040488,아라한 장풍대작전,114,2004,20040430,개봉,장편,[{'nationNm': '한국'}],12세관람가
